Fecha_prueba|Matricula|Temp_Amb|Humr_Amb|Marca|Modelo|Cilindraje|Combustible|Kilometraje|Fecha_ITV|CDA|Temp_motor|RPM_motor|HC|CO|CO2|O2|RPM_Cru|HC_Cru|CO_Cru|CO2_Cru|O2_Cru
2021-08-13 10:47:46|4231 JWJ|26.5|36.1|MARCA 1|1998|4300|GNV|11977.5|2021-08-11|EMPRESA I|60.0|740|466|2.57|9.6|1.4|2640|53|0.11|10.82|2.1
2021-08-13 11:21:09|1651 RBK|23.5|41.5|MARCA 4|2007|999|GNV_gasolina|56456.0|2020-08-14|EMPRESA A|60.0|990|198|1.05|13.7|0.85|2710|197|0.98|13.7|0.95
2021-08-13 11:59:04|1683 SRF|21.3|44.4|MARCA 2|2008|999|GNV_gasolina|784516.0|2021-07-10|EMPRESA D|60.0|890|233|0.81|11.27|0.76|2410|110|0.11|9.85|3.76
2021-08-13 12:15:04|6997 CXW|19.2|60.9|MARCA 5|2012|1493|GNV_gasolina|6984.0|2021-06-10|EMPRESA B|60.0|760|325|1.25|12.45|2.49|2410|226|1.53|12.19|2.61
2021-08-13 12:36:23|6344 SJD|23.6|41.6|MARCA 2|2005|999|GNV_gasolina|766819.0|2020-12-03|EMPRESA F|60.0|930|118|1.19|9.7|2.56|2250|172|0.72|9.43|3.65
2021-08-13 12:56:50|9874 NRE|21.1|48.0|MARCA 3|2007|999|GNV_gasolina|766819.0|2021-01-20|EMPRESA D|88.0|730|486|0.1|10.58|5.66|2640|154|0.15|13.0|2.59
2021-08-13 13:22:43|5706 SQK|22.5|43.4|MARCA 4|2000|2200|GNV_gasolina|508002.0|2021-06-10|EMPRESA E|46.0|880|425|0.47|10.46|2.59|2490|48|0.14|10.04|3.6
2021-08-13 09:47:03|1146 UQZ|19.1|52.8|MARCA 5|2010|1000|GNV_gasolina|742001.0|2021-06-30|EMPRESA D|64.0|720|252|0.14|8.32|6.51|2300|180|0.19|9.7|4.31
2021-08-21 10:02:01|1740 FAG|22.7|41.8|MARCA 1|2007|1400|GNV_gasolina|786412.0|2021-01-19|EMPRESA A|60.0|710|977|1.73|11.8|2.82|2580|429|1.54|11.9|2.93
2021-08-21 10:24:19|5291 VJV|20.2|53.1|MARCA 2|2007|999|GNV_gasolina|987412.0|2021-07-23|EMPRESA F|60.0|970|328|0.66|13.54|1.42|2520|265|0.75|13.89|1.12
2021-08-21 10:57:30|2747 ZER|21.9|48.3|MARCA 2|2009|1399|GNV|514863.0|2021-06-07|EMPRESA B|50.0|720|259|0.12|7.54|8.03|2550|103|0.14|9.1|5.28
